AUTHOR,Genre
ABBATI  Giuseppe,Realism
ABILDGAARD  Nicolai,Romanticism
ACHENBACH  Oswald,Realism
ADAM  Albrecht,Romanticism
ADEMOLLO  Luigi,Neoclassicism
AIVAZOVSKY  Ivan Konstantinovich,Realism
ALLSTON  Washington,Romanticism
ALMA-TADEMA  Lawrence,Romanticism
AMERLING  Friedrich von,Romanticism
ANCHER  Anna Kirstine,Impressionism
ANCONA  Vito d',Realism
ANDERSON  William,Romanticism
ANDREESCU  Ion,Impressionism
ANGRAND  Charles,Impressionism
ANQUETIN. Louis,Impressionism
ANTIGNA  Alexandre,Romanticism
APPIANI  Andrea,Neoclassicism
ASHTON  Julian Rossi,Impressionism
ASSCHE  Henri van,Romanticism
AZEGLIO  Massimo Taparelli  Marquis d',Romanticism
BAERTSOEN  Albert,Impressionism
BANKS  Thomas,Neoclassicism
BANTI  Cristiano,Realism
BARABÁS  Miklós,Romanticism
BARKER  Thomas Jones,Realism
BARKER  Thomas,Romanticism
BAUM  Paul,Impressionism
BAZILLE  Jean-Frédéric,Impressionism
BEAUFORT  Jacques-Antoine,Neoclassicism
BEAUX  Cecilia,Realism
BEGAS  Carl the Elder,Romanticism
BÉLIARD  Edouard,Impressionism
BELLANGÉ  Hippolyte,Neoclassicism
BENCZÚR  Gyula,Realism
BENOIST  Marie-Guillemine,Romanticism
BENOUVILLE  François-Léon,Romanticism
BENOUVILLE  Jean-Achille,Realism
BENSON  Frank Weston,Impressionism
BENVENUTI  Pietro,Neoclassicism
BÉRAUD  Jean,Impressionism
BERGERET  Pierre-Nolasque,Neoclassicism
BERJON  Antoine,Romanticism
BERNARD  Émile,Impressionism
BERUETE  Aureliano,Impressionism
BESNARD  Albert,Realism
BEZZUOLI  Giuseppe,Romanticism
BIDAULD  Jean-Joseph-Xavier,Neoclassicism
BINGHAM  George Caleb,Romanticism
BIRGER  Hugo,Impressionism
BLECHEN  Karl,Romanticism
BLOCH  Carl Heinrich,Realism
BÖCKLIN  Arnold,Romanticism
BOILLY  Louis Léopold,Romanticism
BOLDINI  Giovanni,Impressionism
BONHEUR  Rosa,Realism
BONINGTON  Richard Parkes,Romanticism
BONNAT  Léon-Joseph-Florentin,Realism
BORRANI  Odoardo,Realism
BORSATO  Giuseppe,Neoclassicism
BORSOS  József,Romanticism
BOUDIN  Eugène,Impressionism
BOUGUEREAU  William-Adolphe,Realism
BOULANGER  Gustave,Realism
BRACQUEMOND  Marie,Impressionism
BRECK  John Leslie,Impressionism
BREITNER  George Hendrik,Impressionism
BRESOLIN  Domenico,Realism
BRETON  Jules,Realism
BRIDELL  Frederick Lee,Realism
BROC  Jean,Romanticism
BROCKY  Károly,Romanticism
BRODSZKY  Sándor,Romanticism
BROWN  Ford Madox,Romanticism
BROWN  Mather,Neoclassicism
BRUCE  William Blair,Impressionism
BRYULLOV  Aleksandr Pavlovich,Romanticism
BRYULLOV  Karl Pavlovich,Romanticism
BULAND  Jean-Eugène,Realism
BUNKER  Dennis Miller,Impressionism
BÜRKEL  Heinrich,Romanticism
BURNE-JONES  Edward,Romanticism
BURY  Friedrich,Neoclassicism
CABANEL  Alexandre,Realism
CABIANCA  Vincenzo,Realism
CAFFI  Ippolito,Romanticism
CAILLEBOTTE  Gustave,Impressionism
CALAME  Alexandre,Romanticism
CALS  Adolphe-Félix,Impressionism
CAMMARANO  Michele,Realism
CAMUCCINI  Vincenzo,Neoclassicism
CANAL  Giambattista,Neoclassicism
CAPET  Marie-Gabrielle,Neoclassicism
CAROLUS-DURAN,Realism
CARRIÈRE  Eugène,Realism
CASAS I CARBÓ  Ramón,Impressionism
CASSATT  Mary,Impressionism
CASSIOLI  Amos,Realism
CASTAGNOLI  Giuseppe,Neoclassicism
CASTELLANO  Manuel,Romanticism
CASTIGLIONE  Giuseppe,Realism
CATEL  Franz Ludwig,Romanticism
CATLIN  George,Romanticism
CAZIN  Jean-Charles,Realism
CÉZANNE  Paul,Impressionism
CHARLES  James,Realism
CHARLET  Nicolas-Toussaint,Romanticism
CHARPENTIER  Constance,Romanticism
CHASE  William Merritt,Impressionism
CHASSÉRIAU  Théodore,Romanticism
CHERNETSOV  Grigory Grigorievich,Realism
CHURCH  Frederic Edwin,Romanticism
CIARDI  Guglielmo,Realism
CISERI  Antonio,Realism
CLAUS  Emile,Impressionism
CLAUSEN  George,Impressionism
CLONNEY  James Goodwyn,Romanticism
COIGNET  Jules,Realism
COLE  Thomas,Romanticism
COLLINS  William,Romanticism
CONCA  Tommaso,Neoclassicism
CONSTABLE  John,Romanticism
COOKE  Edward William,Realism
COOKE  George,Realism
CORINTH  Lovis,Impressionism
CORMON  Fernand,Realism
CORNELIUS  Peter,Romanticism
CORNET  Jacobus Ludovicus,Realism
COROT  Jean-Baptiste Camille,Realism
COTMAN  Frederick George,Realism
COTMAN  John Sell,Romanticism
COUDER  Auguste,Romanticism
COURBET  Gustave,Realism
COURT  Joseph-Désiré,Romanticism
COUTURE  Thomas,Romanticism
COX  David,Romanticism
CROME  John,Romanticism
CROPSEY  Jasper Francis,Realism
CROSS  Henri-Edmond,Impressionism
CSONTVÁRY KOSZTKA  Tivadar,Romanticism
CULLEN  Maurice Galbraith,Impressionism
DAEL  Jan Frans van,Romanticism
DAFFINGER  Moritz Michael,Romanticism
DAGNAN-BOUVERET  Pascal-Adolphe-Jean,Realism
DAHL  Johan Christian Clausen,Romanticism
DANHAUSER  Josef Franz,Romanticism
DAUBIGNY  Charles-François,Realism
DAUMIER  Honoré,Romanticism
DAUZATS  Adrien,Romanticism
DAVID  Jacques-Louis,Neoclassicism
DAWE  George,Romanticism
DEÁK-ÉBNER  Lajos,Realism
DECAMPS  Alexandre Gabriel,Romanticism
DEGAS  Edgar,Impressionism
DEGOUVE DE NUNCQUES  William,Impressionism
DELACROIX  Eugène,Romanticism
DELAROCHE  Paul,Romanticism
DEPPE  Ludwig,Romanticism
DETAILLE  Jean Baptiste Edouard,Realism
DEVIS  Arthur William,Realism
DEVIS  Thomas Anthony,Realism
DEWHURST  Wynford,Impressionism
DIAZ DE LA PEÑA  Narcisse Virgile,Realism
DILLENS  Adolphe-Alexandre,Realism
DILLENS  Hendrick Joseph,Realism
DONÁT  János,Romanticism
DONCKT  François van der,Neoclassicism
DROUAIS  Jean-Germain,Neoclassicism
DUBOIS-DRAHONET  Alexandre-Jean,Neoclassicism
DUBOIS-PILLET  Albert,Impressionism
DUBUFE  Claude-Marie,Neoclassicism
DUBUFE  Edouard,Romanticism
DUCQ  Joseph-François,Neoclassicism
DUGONI  Antonio,Realism
DUPRÉ  Jules,Realism
DUPRÉ  Julien,Realism
DURAND  Asher Brown,Romanticism
DURAND-BRAGER  Jean Baptiste Henri,Realism
DUVIVIER  Jan Bernard,Neoclassicism
DYCE  William,Romanticism
EAKINS  Thomas,Realism
ECKERSBERG  Christoffer Wilhelm,Neoclassicism
EDELFELT  Albert,Impressionism
EDLINGER  Johann Georg,Neoclassicism
ENDER  Johann,Romanticism
ENDER  Thomas,Romanticism
ENGERT  Erasmus,Romanticism
ENSOR  James,Impressionism
ESQUIVEL Y SUÁREZ DE URBINA  Antonio Maria,Neoclassicism
EVENEPOEL  Henri,Impressionism
FABBRINI  Giuseppe Antonio,Neoclassicism
FABRE  François-Xavier,Neoclassicism
FANTIN-LATOUR  Henri,Realism
FATTORI  Giovanni,Realism
FAVRETTO  Giacomo,Realism
FENDI  Peter,Romanticism
FÉNYES  Adolf,Realism
FERENCZY  Károly,Impressionism
FEUERBACH  Anselm Friedrich,Romanticism
FINCH  Alfred William,Impressionism
FISCHBACH  Johann,Romanticism
FISCHER  Josef Vinzenz,Neoclassicism
FLAMENG  François,Realism
FLANDRIN  Hippolyte,Romanticism
FOHR  Carl Philipp,Romanticism
FONTANESI  Antonio,Romanticism
FORAIN  Jean-Louis,Realism
FORTUNY Y MARSAL  Mariano,Impressionism
FRAGIACOMO  Pietro,Realism
