AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre
Martin Knoller,(b. 1725  Steinach am Brenner  d. 1804  Milano),Ceiling frescoes,1770-75,Fresco,Abbey church  Neresheim,48.75392150,10.33347030,Neresheim  BW  Germany,Bing Maps,city/town,http://www.wga.hu/detail/k/knoller/nereshei.jpg,painting,religious,Austrian,1751-1800,Neoclassicism
Eugène Delacroix,(b. 1798  Charenton-Saint-Maurice  d. 1863  Paris),Cleopatra and the Peasant,1838,Oil on canvas  98 x 123 cm,Ackland Art Museum  Chapel Hill,35.9148903,-79.0567703,Chapel Hill  NC,Bing Maps,city/town,http://www.wga.hu/detail/d/delacroi/3/315delac.jpg,painting,mythological,French,1801-1850,Romanticism
Josef Vinzenz Fischer,(b. 1729  Schmidham bei Griesbach  d. 1810  Wien),Moses Tramples on Pharaoh's Crown,1760,Oil on canvas  118 x 165 cm,Akademie der bildenden Künste  Vienna,48.20842740,16.37782100,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/f/fischerj/moses.jpg,painting,religious,Austrian,1751-1800,Neoclassicism
Hubert Maurer,(b. 1738  Röttchen  d. 1818  Wien),Odysseus with Circe,1785,Oil on canvas  107 x 54 cm,Akademie der bildenden Künste  Vienna,48.20842740,16.37782100,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/m/maurer/odysseus.jpg,painting,mythological,Austrian,1751-1800,Neoclassicism
Johann Friedrich August Tischbein,(b. 1750  Maastricht  d. 1812  Heidelberg),The Artist's Daughters as Personifications of Painting and Music,1804,Oil on canvas  131 x 99 cm,Akademie der bildenden Künste  Vienna,48.20842740,16.37782100,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/t/tischbei/friedric/daughter.jpg,painting,portrait,German,1751-1800,Neoclassicism
Johann Nepomuk Schödlberger,(b. 1779  Wien  d. 1853  Wien),Ideal Landscape: Morning,1817,Oil on canvas  131 x 171 cm,Akademie der bildenden Künste  Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/s/schodlbe/ideal1.jpg,painting,landscape,Austrian,1801-1850,Romanticism
Johann Nepomuk Schödlberger,(b. 1779  Wien  d. 1853  Wien),Ideal Landscape: Evening,1817,Oil on canvas  131 x 172 cm,Akademie der bildenden Künste  Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/s/schodlbe/ideal2.jpg,painting,landscape,Austrian,1801-1850,Romanticism
Fedinand Georg Waldmüller,(b. 1793  Wien  d. 1865  Helmstreitmühle),Martyrdom of St Andrew,1821,Oil on canvas  104 x 92 cm,Akademie der bildenden Künste  Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/w/waldmull/martyrdo.jpg,painting,religious,Austrian,1801-1850,Romanticism
Moritz Michael Daffinger,(b. 1790  Wien  d. 1849  Wien),Miniature of Elise Wolf,1830,Watercolour on ivory  10 x 8 cm,Akademie der bildenden Künste  Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/d/daffinge/miniatur.jpg,painting,portrait,Austrian,1801-1850,Romanticism
Thomas Ender,(b. 1793  Wien  d. 1875  Wien),View of Rio de Janeiro,1837,Oil on canvas  127 x 189 cm,Akademie der bildenden Künste  Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province,http://www.wga.hu/detail/e/ender/thomas/rjaneiro.jpg,painting,landscape,Austrian,1801-1850,Romanticism
