LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION
Abbey church   Neresheim,48.75392150,10.33347030,Neresheim   BW   Germany,Bing Maps,city/town
Ackland Art Museum   Chapel Hill,35.9148903,-79.0567703,Chapel Hill   NC,Bing Maps,city/town
Akademie der bildenden Künste   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Albright-Knox Art Gallery   Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery   NY,Bing Maps,LandmarkBuilding
Allen Memorial Art Museum   Oberlin   Ohio,41.2935295,-82.2173309,Oberlin   OH,Bing Maps,city/town
Amon Carter Museum   Fort Worth,32.7477837,-97.3685074,Amon Carter Museum   TX,Bing Maps,PointOfInterest
Armand Hammer Collection   Los Angeles,34.0534897,-118.2453232,Los Angeles   CA,Bing Maps,city/town
Art Gallery of New South Wales   Sydney,-33.870369,151.2161255,Art Gallery of New South Wales   Australia,Bing Maps,PointOfInterest
Art Gallery of Ontario   Toronto,43.6538887,-79.3927765,Art Gallery of Ontario   ON,Bing Maps,Museum
Art Gallery   Aberdeen,57.1454811,-2.10272,Aberdeen   Aberdeen City   United Kingdom,Bing Maps,city/town
Art Institute   Chicago,41.8842506,-87.6324463,Chicago   IL,Bing Maps,city/town
Art Museum   Cincinnati,39.1071281,-84.5041275,Cincinnati   OH,Bing Maps,city/town
Art Museum   Novokuznetsk,53.7577209,87.1192398,Novokuznetsk   Russia,Bing Maps,city/town
Art Museum   Portland,45.5117912,-122.6756287,Portland   OR,Bing Maps,city/town
Art Museum   Saint Louis,38.6277504,-90.1995621,St Louis   MO,Bing Maps,city/town
Ashmolean Museum   Oxford,51.7554398,-1.2604899,Ashmolean Museum   United Kingdom,Bing Maps,LandmarkBuilding
Atheneumin Taidemuseo   Helsinki,60.1711617,24.9326496,Helsinki   Finland,Bing Maps,city/town
Baltimore Museum of Art   Baltimore,39.3257294,-76.6196442,Baltimore Museum of Art   MD,Bing Maps,LandmarkBuilding
Banco Inversion-Agepasa   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Berlinische Galerie   Berlin,52.5038986,13.3982153,Berlinische Galerie   BE   Germany,Bing Maps,LandmarkBuilding
Biblioteca Nacional   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Bibliotheque de l'École des Beaux-Arts   Paris,48.8569298,2.3412001,Paris   Paris   France,Bing Maps,city/town
Bibliothèque Nationale   Paris,48.83305740,2.36277790,Nationale   Paris   France,Bing Maps,PointOfInterest
Bibliothèque   Palais Bourbon   Paris,48.8613701,2.3167851,Palais Bourbon   Paris   France,Bing Maps,LandmarkBuilding
Birmingham Museum and Art Gallery   Birmingham,52.4802895,-1.903195,Birmingham Museum and Art Gallery   United Kingdom,Bing Maps,LandmarkBuilding
Blackburn Museum and Art Gallery   Blackburn,53.7500992,-2.4841001,Blackburn Museum And Art Gallery   United Kingdom,Bing Maps,Museum
Bodleian Library   Oxford,51.7541008,-1.254704,Bodleian Library   United Kingdom,Bing Maps,HistoricalSite
Bowes Museum   Barnard Castle,54.5419388,-1.91528,Bowes Museum   United Kingdom,Bing Maps,Museum
Bridgestone Museum of Art   Tokyo,35.6840782,139.8088531,Tokyo   Japan,Bing Maps,city/town
British Library   London,51.5298195,-0.127655,British Library   United Kingdom,Bing Maps,LandmarkBuilding
British Museum   London,51.5194588,-0.126931,British Museum   United Kingdom,Bing Maps,Museum
British Rail Pension Trustee Co.   London,51.491485,-0.24553,British Grove   W4   W4 2,Bing Maps,street
Brooklyn Museum   New York,40.670742,-73.9634399,Brooklyn Museum   NY,Bing Maps,PointOfInterest
Burrell Collection   Glasgow,55.8309441,-4.3077102,Burrell Collection   United Kingdom,Bing Maps,LandmarkBuilding
Carderera Collection   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Casino Massimo   Rome,41.9032211,12.4956503,Rome   Laz.   Italy,Bing Maps,city/town
Casino of Villa Borghese   Rome,41.91373440,12.48485950,Villa Borghese   Laz.   Italy,Bing Maps,Park
Cathedral of Notre-Dame   Montauban,49.25373080,4.03372480,Cathédrale Notre-Dame de Reims   Marne   France,Bing Maps,PointOfInterest
Centraal Museum   Utrecht,52.0822983,5.0711598,Utrecht   Netherlands,Bing Maps,city/town
Centro de Arte Reina Sofía   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Château de Versailles et de Trianon   Versailles,48.81472400,2.10472200,Grand Trianon   Yvelines   France,Bing Maps,LandmarkBuilding
Château du Malmaison   Rueil,48.87739940,2.17912010,Rueil-Malmaison   Hauts-de-Seine   France,Bing Maps,city/town
Château-musée de Dieppe   Dieppe,49.9271507,1.07938,Dieppe   Seine-Maritime   France,Bing Maps,city/town
Chrysler Museum of Art   Norfolk   Virginia,36.8562965,-76.2929764,Chrysler Museum of Art   VA,Bing Maps,PointOfInterest
Church of St Vincent   Mâcon,13.25000000,-61.20000080,St. Vincent   St Vincent and the Grenadines,Bing Maps,Island
City Art Gallery and Museum   Bradford,53.7957191,-1.7582999,Bradford   West Yorkshire   United Kingdom,Bing Maps,city/town
City Art Gallery   Birmingham,52.481208,-1.949636,City Road   Edgbaston   B16 0,Bing Maps,street
City Art Gallery   Leeds,53.7947998,-1.54653,Leeds   West Yorkshire   United Kingdom,Bing Maps,city/town
