Author,Born-Died,TITLE,time,TECHNIQUE,LOCATION,LATITUDE,LONGITUDE,DESC,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre,ID
LE LORRAIN Louis-Joseph,(b. 1715 Paris 1759 St. Petersburg),Three Figures Dressed for a Masquerade,Y1740,Oil on canvas 166 x 127 cm,National Gallery of Art Washington,38.8913078,-77.0199585,National Gallery of Art DC,PointOfInterest,http://www.wga.hu/art/l/le_lorr/masquera.jpg,painting,genre,French,1701-1750,Neoclassicism,/l/le_lorr/masquera
LE LORRAIN Louis-Joseph,(b. 1715 Paris 1759 St. Petersburg),Temple of Venus,1747,Engraving,Bibliothque Nationale Paris,48.8330574,2.3627779,Nationale Paris France,PointOfInterest,http://www.wga.hu/art/l/le_lorr/templeve.jpg,graphics,mythological,French,1701-1750,Neoclassicism,/l/le_lorr/templeve
FISCHER Josef Vinzenz,(b. 1729 Schmidham bei Griesbach d. 1810 Wien),Moses Tramples on Pharaoh's Crown,1760,Oil on canvas 118 x 165 cm,Akademie der bildenden Knste Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/f/fischerj/moses.jpg,painting,religious,Austrian,1751-1800,Neoclassicism,/f/fischerj/moses
MACHY Pierre-Antoine de,(b. 1723 Paris d. 1807 Paris),Clearing the Area in front of the Louvre Colonnade,1760,Oil on canvas 60 x 92 cm,Muse Carnavalet Paris,48.5126991,2.2144001,Carnavalet Museum Paris France,Museum,http://www.wga.hu/art/m/machy/louvre1.jpg,painting,historical,French,1751-1800,Neoclassicism,/m/machy/louvre1
MACHY Pierre-Antoine de,(b. 1723 Paris d. 1807 Paris),Clearing the Area in front of the Louvre Colonnade,1760,Oil on canvas 41 x 52 cm,Muse Carnavalet Paris,48.5126991,2.2144001,Carnavalet Museum Paris France,Museum,http://www.wga.hu/art/m/machy/louvre2.jpg,painting,historical,French,1751-1800,Neoclassicism,/m/machy/louvre2
HAMILTON Gavin,(b. 1723 Lanark d. 1798 Roma),The Oath of Brutus,Y1763,Oil on canvas 213 x 264 cm,Yale Center for British Art New Haven,41.3079185,-72.9305725,Yale Center for British Art CT,LandmarkBuilding,http://www.wga.hu/art/h/hamilton/brutus.jpg,painting,historical,Scottish,1751-1800,Neoclassicism,/h/hamilton/brutus
VIEN Joseph-Marie,(b. 1716 Montpellier d. 1809 Paris),La Marchande d'Amours,1763,Oil on canvas 117 x 140 cm,Muse National du Chteau Fontainebleau,48.4049911,2.70119,Fontainebleau Seine-et-Marne France,city/town,http://www.wga.hu/art/v/vien/amours.jpg,painting,genre,French,1751-1800,Neoclassicism,/v/vien/amours
MACHY Pierre-Antoine de,(b. 1723 Paris d. 1807 Paris),Official Laying of the Cornerstone of the New Church of Sainte-Genevive,1765,Oil on canvas 81 x 129 cm,Muse Carnavalet Paris,48.5126991,2.2144001,Carnavalet Museum Paris France,Museum,http://www.wga.hu/art/m/machy/stgenevi.jpg,painting,historical,French,1751-1800,Neoclassicism,/m/machy/stgenevi
VIEN Joseph-Marie,(b. 1716 Montpellier d. 1809 Paris),Marcus Aurelius Distributing Bread to the People,1765,Oil on canvas 300 x 301 cm,Muse de Picardie Amiens,49.890625,2.295275,Muse de Picardie Somme France,LandmarkBuilding,http://www.wga.hu/art/v/vien/marcus_a.jpg,painting,historical,French,1751-1800,Neoclassicism,/v/vien/marcus_a
OLLIVIER Michel-Barthlmy,(b. 1712 Marseille d. 1784 Paris),Afternoon Tea at the Temple,1766,Oil on canvas 53 x 68 cm,Muse National du Chteau Versailles,38.7341385,41.4906387,Mu Turkey,city/town,http://www.wga.hu/art/o/ollivier/aftertea.jpg,painting,genre,French,1751-1800,Neoclassicism,/o/ollivier/aftertea
